name,location,rate,online_order,approx_cost(for two people)
Utsav Restaurant,Banashankari,3.8/5,Yes,300
Crunch and Munch,Uttarahalli,3.7/5,Yes,300
Food Geek,Basavanagudi,3.8/5,Yes,350
Sri Krishna Aramane,Kumaraswamy Layout,3.7/5,Yes,200
Great Indian Rolls,Basavanagudi,3.3/5,Yes,100
Chats Point,Basavanagudi,3.4/5,Yes,150
Food Point,Kumaraswamy Layout,3.5/5,Yes,300
Swarga Ruchi,Basavanagudi,3.3/5,Yes,200
Kolkata King,Basavanagudi,3.4/5,Yes,300
Sandwich Mama's And Frozen Monster,Jayanagar,3.8/5,Yes,250
New Rajadhani Spicy,Kumaraswamy Layout,3.7/5,Yes,700
Big Mishra Pedha,Jayanagar,2.9/5,Yes,250
VEGeatz,Banashankari,3.4/5,Yes,200
Foodizo,Banashankari,3.6/5,Yes,300
Food Springs,Jayanagar,4.0/5,Yes,400
Chung's Chinese Corner,Jayanagar,3.9/5,Yes,700
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,4.1/5,Yes,"1,200"
Goli Vada Pav No. 1,Basavanagudi,3.7/5,Yes,200
Ragoo's,Jayanagar,3.9/5,Yes,800
Pure & Natural,Jayanagar,3.9/5,Yes,500
Maiyas,Jayanagar,4.0/5,Yes,200
Sip n Dine,Vijay Nagar,3.6/5,Yes,800
Cafe Mondo,Basavanagudi,3.7/5,Yes,600
Jalpaan,Jayanagar,4.0/5,Yes,900
Kataria's Pakwan,Kumaraswamy Layout,3.2/5,Yes,400
Juicy Momos,Banashankari,3.5/5,Yes,250
Amande Patisserie,Basavanagudi,4.0/5,Yes,300
Anand Sweets and Savouries,Jayanagar,3.9/5,Yes,400
Chicken Hunt,Banashankari,3.5/5,Yes,350
Swadesh Tadka,Banashankari,3.5/5,Yes,600
Cane-O-La,Basavanagudi,3.8/5,Yes,100
New Biryani Mane,Uttarahalli,3.7/5,Yes,450
Upahara Darshini,Jayanagar,3.8/5,Yes,400
Karnataka Bhel House,Basavanagudi,4.1/5,Yes,100
Sreeraj Lassi Bar,Jayanagar,4.1/5,Yes,150
Juice Junction Food Court,Basavanagudi,3.7/5,Yes,200
Bunt's Biriyani Palace,Banashankari,3.0/5,Yes,400
Chai Point,Jayanagar,3.2/5,Yes,250
Janahaar,Banashankari,3.8/5,Yes,100
Redberrys,Basavanagudi,4.0/5,Yes,600
Utsav,Banashankari,3.7/5,Yes,200
Meat And Eat,Banashankari,3.1/5,Yes,500
Snacks Bite,Kumaraswamy Layout,3.0/5,Yes,400
The Spice Saga,Kumaraswamy Layout,3.7/5,Yes,750
Dakshin Cafe,Kumaraswamy Layout,3.7/5,Yes,100
Mr. Parathewala,Jayanagar,,Yes,300
Kaulige Millet Corner,Basavanagudi,3.3/5,Yes,150
Ifruit Ice Cream,Kumaraswamy Layout,3.3/5,Yes,150
Havmor,Basavanagudi,3.8/5,Yes,200
Grand Food,Banashankari,3.4/5,Yes,250
Dining Hut,Kumaraswamy Layout,3.5/5,Yes,400
7 Hills Garden Restaurant,Banashankari,,Yes,400
Desi Swaad,Kumaraswamy Layout,3.5/5,Yes,400
Yummy Momos,Kumaraswamy Layout,3.2/5,Yes,200
Masale Daan,Banashankari,3.1/5,Yes,350
Sri Manjunatha Tandoori Corner,Uttarahalli,,Yes,300
Grow Fit,JP Nagar,3.6/5,Yes,500
The House Of Vadapav,Banashankari,,Yes,150
